id,question,answer,context,response,response_length,Faithfulness,Completeness,Answer_Relevance,Context_Relevance,Context_Recall,exact_match,generated_tokens,response_tokens,latency,resource_used
tc_2,Who was the man behind The Chipmunks?,David Seville,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: ... Title: Alvin and the Chipmunks (2007) ... The man who brought the Chipmunks to life, ... Five more Chipmunks singles charted in the early '60s, ... See Behind-the-Scenes Rehearsal Photos of Fox's 'The Passion'","The context mentions that Dave Seville was the struggling songwriter who discovered the Chipmunks and brought them to life. Additionally, it states that David Seville was a stage name of Ross Bagdasarian, who created the Chipmunks. Therefore, the answer is David Seville.",41,1,1,1,1,1,0,4442,243,7.715160846710205,1046846490.640625
tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,"The official website for Andrew Lloyd Webber, ... from the Andrew Lloyd Webber/Jim Steinman musical Whistle ... American premiere on 9th December 1993 at the ... Andrew is the composer of The Likes of Us, ... the Musical"" Andrew Lloyd Webber to release ... Sunset Boulevard received its American premiere on 9th December 1993 at ... Andrew Lloyd Webber and Don Black's Stephen Ward premieres at Aldwych in December. ... world premiere of Andrew Lloyd Webber's new musical inspired ... lets us be ... Find a Andrew Lloyd Webber ... the album was recorded in London between July 26th and August 10th 1993. Andrew Lloyd Webber ... World Premiere 12 July 1993 Adelphi ... ... received its world premiere on Broadway in December 2015 ... 2011 and your opening night royalty will be on us! ... In 1989 Andrew Lloyd Webber's musical ASPECTS ... Andrew Lloyd Webber's Sunset Boulevard, which originally premiered at the West End's Adelphi Theatre in ... Sunset Boulevard Will Return to the West End in December. Andrew Lloyd Webber reveals collaborators on Profumo ... Thursday 20 December 2012 10.28 EST Last ... reunite the team behind Lloyd Webber's 1993 musical Sunset ... SUNSET BOULEVARD Musical by Andrew LLoyd Webber. ... `Sunset Boulevard' Makes Grand Entree . ... December 17, 1993. Contributors: Andrew Lloyd Webber | The official website for Andrew Lloyd Webber, composer of The Phantom of the Opera, Love Never Dies, Cats, Evita, Jesus Christ Superstar, Joseph and many more","The context mentions that ""Sunset Boulevard received its American premiere on 9th December 1993 at the Shubert Theatre in Los Angeles,"" which is close to the date in the question. While the exact date in the question is not explicitly stated in the context, the answer is likely referring to the same musical, as the context provides multiple references to the premiere of Sunset Boulevard around that time.",60,1,1,1,1,1,0,25410,508,22.251216888427734,1055693849.6484375
tc_40,Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,"Arthur Balfour was born on the family's Scottish estate in East Lothian in 1848. Educated at Eton and Trinity College, Cambridge, he entered the House of Commons in 1874 as the Conservative MP for Hertford. In 1878 Balfour became private secretary to his uncle, the Marquess of Salisbury, who was Foreign Secretary in the Conservative government headed by Benjamin Disraeli. In the 1885 General Election Balfour was elected to represent the East Manchester constituency. The Marquess of Salisbury, who was now Prime Minister, appointed him as his Secretary for Scotland. Other posts during the next few years included Chief Secretary of Ireland (1887), First Lord of the Treasury (1892) and leader of the House of Commons (1892). Balfour replaced his uncle as Prime Minister in 1902. The most important events during his premiership included the 1902 Education Act and the ending of the Boer War. The topic of Tariff Reform split Balfour's government and when he resigned in 1905, Edward VII invited Henry Campbell-Bannerman to form a government. Campbell-Bannerman accepted and in the 1906 General Election that followed the Liberal Party had a landslide victory.","The context explicitly states that after Arthur Balfour resigned in 1905, Edward VII invited Henry Campbell-Bannerman to form a government, and Campbell-Bannerman accepted. This directly identifies him as the next British Prime Minister.",35,1,1,1,1,1,0,23242,402,15.462154388427734,1055693841.2109375
tc_49,Who had a 70s No 1 hit with Kiss You All Over?,Exile,"Exile - I Wanna Kiss You All Over (1978) - YouTube
Exile - I Wanna Kiss You All Over (1978)
Want to watch this again later?
Sign in to add this video to a playlist.
Need to report the video?
Sign in to report inappropriate content.
The interactive transcript could not be loaded.
Loading...
Rating is available when the video has been rented.
This feature is not available right now. Please try again later.
Uploaded on Jun 30, 2006
Jimmy Stokley (lead vocals), J. P. Pennington (guitar, vocals), Sonny LeMaire (bass, backing vocals), Marlon Hargis (keyboards, backing vocals), Buzz Cornelison (keyboards, backing vocals) and Steve Goetzman (battery)
Exile - Kiss You All Over
When I get home, babe, gonna light your fire
All day I've been thinkin' about you, babe
You're my one desire
Gonna wrap my arms around you
Hold you close to me
Oh, babe I wanna taste your lips
I wanna fill your fantasy, yeah
I don't what I'd do without you, babe
Don't know where I'd be
You're not just another lover
No, you're everything to me
Ev'rytime I'm with you, baby
I can't believe it's true
When you're layin' in my arms
And you do the things you do
You can see it in my eyes
I can feel it in your touch
You don't have to say a thing
Just let me show how much
I love you, I need you, yeah
I wanna kiss you all over
And over again
I wanna kiss you all over
Till the night closes in
Till the night closes in
Stay with me, lay with me, holding me, loving me,
baby
Here with me, near with me, feeling you close to me,
baby
So show me, show me ev'rything you do
'cause baby no one does it quite like you
I love you, I need you, oh, babe
I wanna kiss you all over
And over again
I wanna kiss you all over
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in
Download:
Exile - kiss you all over - YouTube
Exile - kiss you all over
Want to watch this again later?
Sign in to add this video to a playlist.
Need to report the video?
Sign in to report inappropriate content.
Rating is available when the video has been rented.
This feature is not available right now. Please try again later.
Uploaded on Apr 26, 2008
Exile - kiss you all over
Category
Standard YouTube License
Music","The context explicitly states that ""Kiss You All Over"" is a 1978 song performed by the group Exile, which was a number one single in the United States. This directly answers the question of who had a 70s No 1 hit with the song.",26,1,1,1,1,1,0,2855,833,17.309016466140747,1055693841.2109375
tc_56,What claimed the life of singer Kathleen Ferrier?,Cancer,"... Kathleen Ferrier became a professional singer, ... the cancer against which she had valiantly struggled for the last years of her life. ... Ferrier, Kathleen ...","The context explicitly states that Kathleen Ferrier died from cancer, which she had been battling for the last years of her life. This is confirmed by the passage mentioning her diagnosis with breast cancer in March 1951 and her subsequent death on 8 October 1953.",34,1,1,1,1,1,0,15846,183,8.714416980743408,1055693841.2109375
tc_69,Rita Coolidge sang the title song for which Bond film?,Octopussy,"... Rita Coolidge Performing The title track to the JAMES BOND film OCTOPUSSY. Clip from THE VAL DOONICAN MUSIC SHOW 1983 Featuring Rita Coolidge ... HIGH ... All Time High by Rita Coolidge song meaning, ... The next Bond theme without the movie in the title was ""You Know My Name,"" which Chris Cornell wrote for the 2006 ... Sam Smith records theme song for new James Bond film 'Spectre' ... perhaps the most iconic Bond theme-song singer, sang the title ... Rita Coolidge sang ... ... Octopussy does not have a true title song. ... Rita Coolidge. ... is used in the movie when Octopussy tells Bond that she and he are ""two of a kind"" and Bond ... Check out Sam Smith's new James Bond ... perhaps the most iconic Bond theme-song singer, sang the title theme to ... Rita Coolidge sang ""All Time High ... RITA COOLIDGE  ALL TIME HIGH James Bond 007 OCTOPUSSY The val doonican show 1983 - YouTube ... Clip from THE VAL DOONICAN MUSIC SHOW 1983 Featuring Rita Coolidge Performing The title track to the JAMES BOND film OCTOPUSSY. ... All Time High by Rita Coolidge Songfacts ... Rita Coolidge's career hit an all time high when she got to perform this theme song to the James Bond movie Octopussy. ... This is one of the few Bond theme songs that is not titled after the movie; understandable when you consider the implications of releasing a song called ""Octopussy."" ... This song plays a part in the 2012 movie Ted, where Mark Wahlberg's character takes the stage at a Norah Jones and sings the song (poorly) to his estranged girlfriend, since they watched the movie Octopussy on their first night together. ... Sam Smith sings theme song for James Bond film 'Spectre' - CNN.com ... Rita Coolidge sang ""All Time High,"" the theme from 1983's ""Octopussy.""","The context explicitly mentions that Rita Coolidge performed the title track for the James Bond film Octopussy. It also states that ""All Time High"" was the theme song for Octopussy, confirming that Rita Coolidge sang the title song for this film.",35,1,1,1,1,1,0,7939,572,15.34914779663086,1055693841.2109375
tc_79,What was the last US state to reintroduce alcohol after prohibition?,Utah,"... after the United States entered World War I, ... Though a few states continued to prohibit alcohol after Prohibition’s end, all had abandoned the ban by 1966. ... Prohibition ends ... repealing the 18th Amendment and bringing an end to the era of national prohibition of alcohol ... Negotiations between the United States ... ... Pulitzer Prize finalist and author of Last Call: The Rise and Fall of Prohibition. ... private alcohol sellers. Here, a large United States map highlights ... Present Day Prohibition. ... The regulatory scheme enacted to “safely reintroduce” alcohol into society following ... we will never truly put Prohibition behind us. ... Prohibition - Facts & Summary - HISTORY.com ... Mississippi, the last dry state in the Union, ended Prohibition in 1966.","The context indicates that Mississippi was the last dry state in the Union and ended Prohibition in 1966. However, the provided answer is Utah, which is not supported by the context. The context does not mention Utah as the last state to reintroduce alcohol after Prohibition. The correct answer based on the context should be Mississippi.",66,0,0,0,1,1,0,14380,321,12.470216751098633,1055693841.2109375
7,,,,,,,,,,,0,43314,321,12.470216751098633,1055693841.2109375
tc_133,What is the Japanese share index called?,Nikkei,"BREAKING DOWN 'Nikkei' Originally called the Nikkei Dow Jones Stock Average (from 1975 to 1985), it is now named for the ""Nihon Keizai Shimbun"" or Japan Economic ... Nikkei is short for Japan's Nikkei 225 Stock Average, the leading and most-respected index of Japanese stocks. It is a price-weighted index comprised of Japan's top 225 blue-chip companies traded on the Tokyo Stock Exchange . The Nikkei is equivalent to the Dow Jones Industrial Average Index in the United States.","The context explicitly states that the Nikkei is short for Japan's Nikkei 225 Stock Average, which is the leading and most-respected index of Japanese stocks. Therefore, the answer is Nikkei.",27,1,1,1,1,1,0,1850,258,7.798315048217773,1065851911.5234375
9,,,,,,,,,,,0,43962,258,7.798315048217773,1065851911.5234375
